#Firmware: MS2/Extra 3.4.4 release  20201006 18:17BST(c)KC/JSM/JB    uS
PriLevel,SecLevel,Trigger,Sync,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms
1.0,1.0,0.0,1.0,3.31452,1645.681
0.0,1.0,0.0,1.0,5.13018,1650.8112
1.0,1.0,0.0,1.0,3.57918,1654.3904
0.0,1.0,0.0,1.0,5.32224,1659.7126
1.0,1.0,0.0,1.0,3.70722,1663.4199
0.0,1.0,0.0,1.0,5.92944,1669.3494
1.0,1.0,0.0,1.0,4.49064,1673.84
0.0,1.0,0.0,1.0,5.9499,1679.7899
1.0,1.0,0.0,1.0,5.1282,1684.9181
0.0,1.0,0.0,1.0,7.71078,1692.6289
1.0,1.0,0.0,1.0,5.52552,1698.1544
0.0,1.0,0.0,1.0,9.80166,1707.956
1.0,1.0,0.0,1.0,6.90228,1714.8583
0.0,1.0,0.0,0.0,10.78176,1725.64
1.0,1.0,0.0,0.0,6.58614,1732.2262
0.0,1.0,0.0,0.0,9.73302,1741.9592
1.0,1.0,0.0,0.0,15.58326,1757.5425
0.0,1.0,0.0,0.0,7.20918,1764.7517
1.0,1.0,0.0,0.0,4.11378,1768.8655
0.0,1.0,0.0,0.0,5.20806,1774.0735
1.0,1.0,0.0,0.0,3.96792,1778.0414
0.0,1.0,0.0,0.0,4.69128,1782.7327
1.0,1.0,0.0,0.0,3.50328,1786.236
0.0,1.0,0.0,0.0,4.61538,1790.8513
1.0,1.0,0.0,0.0,2.94888,1793.8002
0.0,1.0,0.0,0.0,5.0787,1798.8789
1.0,1.0,0.0,0.0,2.65056,1801.5294
0.0,1.0,0.0,0.0,5.02788,1806.5573
1.0,1.0,0.0,0.0,1.60182,1808.159
0.0,1.0,0.0,0.0,6.21984,1814.3789
1.0,1.0,0.0,0.0,1.94766,1816.3265
0.0,1.0,0.0,0.0,5.56116,1821.8877
1.0,1.0,0.0,0.0,1.7358,1823.6235
0.0,1.0,0.0,0.0,6.1941,1829.8176
1.0,1.0,0.0,0.0,2.33508,1832.1527
0.0,1.0,0.0,0.0,5.5638,1837.7166
1.0,1.0,0.0,0.0,4.10256,1841.8191
0.0,1.0,0.0,0.0,4.3692,1846.1882
1.0,1.0,0.0,0.0,2.5608,1848.749
0.0,1.0,0.0,0.0,6.29574,1855.0448
MARK 000
0.0,1.0,0.0,1.0,430.1583,2285.2031
1.0,1.0,0.0,1.0,5.10048,2290.3037
0.0,1.0,0.0,1.0,5.36316,2295.667
1.0,1.0,0.0,1.0,5.31828,2300.9854
0.0,1.0,0.0,1.0,4.48602,2305.4714
1.0,1.0,0.0,1.0,5.11038,2310.5818
0.0,1.0,0.0,1.0,4.06032,2314.642
1.0,1.0,0.0,1.0,4.72692,2319.369
0.0,1.0,0.0,1.0,4.17912,2323.548
1.0,1.0,0.0,1.0,4.3197,2327.8677
0.0,1.0,0.0,1.0,3.95406,2331.8218
1.0,1.0,0.0,1.0,3.86232,2335.684
0.0,1.0,0.0,1.0,4.3791,2340.0632
1.0,1.0,0.0,1.0,3.96264,2344.026
0.0,1.0,0.0,1.0,4.2834,2348.3093
1.0,1.0,0.0,1.0,2.53572,2350.845
0.0,1.0,0.0,1.0,5.66412,2356.509
1.0,1.0,0.0,1.0,2.6631,2359.172
0.0,1.0,0.0,1.0,5.6661,2364.8381
1.0,1.0,0.0,1.0,2.84196,2367.6802
0.0,1.0,0.0,1.0,5.60406,2373.2842
1.0,1.0,0.0,1.0,2.65848,2375.9426
0.0,1.0,0.0,1.0,6.04098,2381.9836
1.0,1.0,0.0,1.0,3.10794,2385.0916
0.0,1.0,0.0,1.0,6.09312,2391.1846
1.0,1.0,0.0,1.0,3.4485,2394.633
0.0,1.0,0.0,1.0,6.34656,2400.9797
1.0,1.0,0.0,1.0,4.70514,2405.6848
0.0,1.0,0.0,1.0,6.38484,2412.0696
1.0,1.0,0.0,1.0,5.27274,2417.3423
0.0,1.0,0.0,1.0,8.68626,2426.0286
1.0,1.0,0.0,1.0,6.16308,2432.1917
0.0,1.0,0.0,1.0,11.3949,2443.5867
1.0,1.0,0.0,1.0,8.3325,2451.9192
0.0,1.0,0.0,0.0,13.11882,2465.038
1.0,1.0,0.0,0.0,8.00712,2473.0452
0.0,1.0,0.0,0.0,10.84248,2483.8877
1.0,1.0,0.0,0.0,16.48548,2500.3733
0.0,1.0,0.0,0.0,7.41642,2507.7898
1.0,1.0,0.0,0.0,3.66432,2511.454
0.0,1.0,0.0,0.0,5.71692,2517.1711
1.0,1.0,0.0,0.0,3.71052,2520.8816
0.0,1.0,0.0,0.0,5.10048,2525.9822
1.0,1.0,0.0,0.0,3.2175,2529.1997
0.0,1.0,0.0,0.0,5.01204,2534.2117
1.0,1.0,0.0,0.0,3.00168,2537.2134
0.0,1.0,0.0,0.0,4.78962,2542.003
1.0,1.0,0.0,0.0,1.83018,2543.833
0.0,1.0,0.0,0.0,5.96772,2549.8008
1.0,1.0,0.0,0.0,2.08032,2551.881
0.0,1.0,0.0,0.0,5.28792,2557.169
1.0,1.0,0.0,0.0,1.73118,2558.9001
0.0,1.0,0.0,0.0,6.2436,2565.1438
1.0,1.0,0.0,0.0,1.96614,2567.1099
0.0,1.0,0.0,0.0,5.2569,2572.3667
1.0,1.0,0.0,0.0,2.11662,2574.4834
0.0,1.0,0.0,0.0,6.29574,2580.779
1.0,1.0,0.0,0.0,2.29746,2583.0764
0.0,1.0,0.0,0.0,5.4813,2588.5576
1.0,1.0,0.0,0.0,4.46094,2593.0186
0.0,1.0,0.0,0.0,4.43388,2597.4524
1.0,1.0,0.0,0.0,4.33422,2601.7866
0.0,1.0,0.0,0.0,5.47932,2607.2659
1.0,1.0,0.0,0.0,5.0259,2612.2917
0.0,1.0,0.0,0.0,5.31564,2617.6074
1.0,1.0,0.0,0.0,7.58472,2625.1921
0.0,1.0,0.0,0.0,4.93152,2630.1238
1.0,1.0,0.0,0.0,1.98264,2632.1064
0.0,1.0,0.0,0.0,3.95472,2636.0613
1.0,1.0,0.0,0.0,24.0009,2660.0623
0.0,1.0,0.0,0.0,7.04946,2667.1118
1.0,1.0,0.0,0.0,17.82858,2684.9404
0.0,1.0,0.0,0.0,16.5924,2701.5327
1.0,1.0,0.0,0.0,21.8031,2723.336
0.0,1.0,0.0,0.0,9.72576,2733.0618
1.0,1.0,0.0,0.0,14.04942,2747.111
0.0,1.0,0.0,1.0,6.22578,2753.337
1.0,1.0,0.0,1.0,14.68368,2768.0205
0.0,1.0,0.0,1.0,5.09388,2773.1145
1.0,1.0,0.0,1.0,15.0876,2788.2021
0.0,1.0,0.0,1.0,6.65808,2794.86
1.0,1.0,0.0,1.0,15.89016,2810.7502
0.0,1.0,0.0,1.0,10.92762,2821.678
0.0,0.0,0.0,0.0,0.0,2821.678
0.0,0.0,0.0,0.0,0.0,2821.678
0.0,0.0,0.0,0.0,0.0,2821.678
0.0,0.0,0.0,0.0,0.0,2821.678
0.0,0.0,0.0,0.0,0.0,2821.678
0.0,0.0,0.0,0.0,0.0,2821.678
0.0,0.0,0.0,0.0,0.0,2821.678
0.0,0.0,0.0,0.0,0.0,2821.678
0.0,0.0,0.0,0.0,0.0,2821.678
0.0,0.0,0.0,0.0,0.0,2821.678
0.0,0.0,0.0,0.0,0.0,2821.678
0.0,0.0,0.0,0.0,0.0,2821.678
0.0,0.0,0.0,0.0,0.0,2821.678
0.0,0.0,0.0,0.0,0.0,2821.678
0.0,0.0,0.0,0.0,0.0,2821.678
0.0,0.0,0.0,0.0,0.0,2821.678
0.0,0.0,0.0,0.0,0.0,2821.678
0.0,0.0,0.0,0.0,0.0,2821.678
0.0,0.0,0.0,0.0,0.0,2821.678
0.0,0.0,0.0,0.0,0.0,2821.678
0.0,0.0,0.0,0.0,0.0,2821.678
0.0,0.0,0.0,0.0,0.0,2821.678
0.0,0.0,0.0,0.0,0.0,2821.678
0.0,0.0,0.0,0.0,0.0,2821.678
0.0,0.0,0.0,0.0,0.0,2821.678
0.0,0.0,0.0,0.0,0.0,2821.678
0.0,0.0,0.0,0.0,0.0,2821.678
0.0,0.0,0.0,0.0,0.0,2821.678
0.0,0.0,0.0,0.0,0.0,2821.678
0.0,0.0,0.0,0.0,0.0,2821.678
0.0,0.0,0.0,0.0,0.0,2821.678
0.0,0.0,0.0,0.0,0.0,2821.678
0.0,0.0,0.0,0.0,0.0,2821.678
0.0,0.0,0.0,0.0,0.0,2821.678
0.0,0.0,0.0,0.0,0.0,2821.678
0.0,0.0,0.0,0.0,0.0,2821.678
0.0,0.0,0.0,0.0,0.0,2821.678
0.0,0.0,0.0,0.0,0.0,2821.678
0.0,0.0,0.0,0.0,0.0,2821.678
0.0,0.0,0.0,0.0,0.0,2821.678
0.0,0.0,0.0,0.0,0.0,2821.678
0.0,0.0,0.0,0.0,0.0,2821.678
